Title,Employer,PostedDate,Category,Salary,Location,WorkType,link
Business Consultant Associate (I.T),holimood limited,06-07-20,"行政, 文職, 秘書",月薪 $12000 - $14000,觀塘,全職,http://www.parttime.hk/job/338454
Web developer,EF English Centers,06-07-20,"資訊科技, 電訊",面議,灣仔,全職,http://www.parttime.hk/job/338570
Android Developer (Internship),Altrgo Limited,03-07-20,"資訊科技, 電訊",面議,灣仔,兼職,http://www.parttime.hk/job/338340
STEM科學奇趣班導師,Tectives Education Company Limited,06-07-20,教育,時薪 $100 - $250,觀塘,兼職,http://www.parttime.hk/job/338671
Senior Web Developer / Analyst Programmer,BEX Solutions Limited,06-07-20,"資訊科技, 電訊",面議,深水?,全職,http://www.parttime.hk/job/338447
System Support,Greensboro,06-07-20,"資訊科技, 電訊",面議,觀塘,兼職,http://www.parttime.hk/job/338745
System Analyst,Union Honor International Enterprise Limited,06-07-20,"資訊科技, 電訊",面議,油尖旺,全職,http://www.parttime.hk/job/338474
Analyst Programmer / Programmer,Union Honor International Enterprise Limited,06-07-20,"資訊科技, 電訊",面議,油尖旺,全職,http://www.parttime.hk/job/338472
System Analyst / Analyst Programmer / Developer (C#/Java),BGC Group,06-07-20,"資訊科技, 電訊",月薪 $20000 - $45000,中西區,全職,http://www.parttime.hk/job/338631
Part-time IT Support,W's International Group Limited,06-07-20,"資訊科技, 電訊",日薪 $600,觀塘,兼職,http://www.parttime.hk/job/338801
IT Technical Support (Retail POS),W's International Group Limited,06-07-20,"資訊科技, 電訊",月薪 $13000 - $15000,觀塘,合約,http://www.parttime.hk/job/338800
Programmer (Welcome Fresh Grad),STA Pacific,06-07-20,"資訊科技, 電訊",月薪 $13000 - $15000,葵青,全職,http://www.parttime.hk/job/338645
IT Call Centre & Helpdesk Agent (1-year contract),Sylvia Master Limited,01-07-20,"資訊科技, 電訊",月薪 $16000 - $18000,觀塘,全職,http://www.parttime.hk/job/338064
"Programmer / Analyst Programmer (Java, Spring) (Fresh Grads Welcome!!)",Manpower Services(Hong Kong) Limited,01-07-20,"資訊科技, 電訊",面議,灣仔,合約,http://www.parttime.hk/job/338032
Programmer / Software Engineer (Full time),BGC Group,06-07-20,"資訊科技, 電訊",月薪 $15000 - $18000,中西區,全職,http://www.parttime.hk/job/338629
Analyst Programmer/ Programmer/ Junior Programmer (17K to 39K) (Fresh Grad Welcome),Manpower Services(Hong Kong) Limited,01-07-20,"資訊科技, 電訊",面議,中西區,合約,http://www.parttime.hk/job/338034
IT Support / Assistant (with good package!!!),Manpower Services(Hong Kong) Limited,01-07-20,"資訊科技, 電訊",面議,中西區,合約,http://www.parttime.hk/job/338037
兼職/全職圖書館電腦技術員,Manpower Services(Hong Kong) Limited,01-07-20,"資訊科技, 電訊",面議,中西區,兼職,http://www.parttime.hk/job/338046
Notebook/Desktop Computer Engineer / Technician,CR IT Services Company Ltd.,01-07-20,"資訊科技, 電訊",月薪 $15000,東區,全職,http://www.parttime.hk/job/338124
"新蒲崗區 Technical Support / 電腦技術員 (5.5天工作, 月薪可達18K)",Nelson Solutions Recruitment LTD,03-07-20,"資訊科技, 電訊",月薪 $15000 - $18000,九龍城,全職,http://www.parttime.hk/job/338319
IT Support Engineer,Topways Technology Service Ltd,30-06-20,"資訊科技, 電訊",面議,觀塘,全職,http://www.parttime.hk/job/337870
"灣仔區 Technical Support / 電腦技術員 (5天工作, 月薪可達18K)",Nelson Solutions Recruitment LTD,03-07-20,"資訊科技, 電訊",月薪 $15000 - $18000,灣仔,全職,http://www.parttime.hk/job/338317
學校電腦技術員 x 3,Global Development Personnel Co Limited,03-07-20,"資訊科技, 電訊",月薪 $15000 - $17000,中西區,全職,http://www.parttime.hk/job/338338
資訊科技文員(全職/兼職/暑期工),大灣區區塊鏈科技有限公司,03-07-20,"資訊科技, 電訊",時薪 $50 - $120,灣仔,兼職,http://www.parttime.hk/job/338151
Super Creative Multimedia Designer,Organic Warehouse Ltd,03-07-20,"資訊科技, 電訊",月薪 $12000,觀塘,Freelance,http://www.parttime.hk/job/338134
Programmer Internship,Altrgo Limited,03-07-20,"資訊科技, 電訊",面議,灣仔,兼職,http://www.parttime.hk/job/338341
IT Helpdesk Support,ASK IT Limited,01-07-20,"資訊科技, 電訊",月薪 $15000 - $23000,大埔,全職,http://www.parttime.hk/job/338005
Urgent! Mobile App Developer [Aviation/ HKD 20K-30K],RecruitFirst Limited,08-06-20,"資訊科技, 電訊",月薪 $20000 - $30000,沙田,合約,http://www.parttime.hk/job/334366
iMac technical support,Sylvia Master Limited,08-06-20,"資訊科技, 電訊",月薪 $17000 - $25000,中西區,全職,http://www.parttime.hk/job/334249
IT Support / Technical support,Auphan Software (HK). Ltd,08-06-20,"資訊科技, 電訊",月薪 $16000 - $22000,灣仔,全職,http://www.parttime.hk/job/334223
Streaming Technician 直播技術員,Yes! Esports Asis Holdings Limited,29-06-20,"廣告, 媒體, 娛樂",面議,油尖旺,全職,http://www.parttime.hk/job/337757
Part-time IT Engineer,ILG Asia Limited,08-06-20,"資訊科技, 電訊",面議,油尖旺,兼職,http://www.parttime.hk/job/334598
Deskside Support / Helpdesk Support (1 year renewable contract ),Pak Lok Elite Headhunting Consultant Limited,10-06-20,"資訊科技, 電訊",面議,觀塘,全職,http://www.parttime.hk/job/334929
Analyst Programmer / C++ Developer,Manpower Services(Hong Kong) Limited,06-07-20,"資訊科技, 電訊",面議,灣仔,全職,http://www.parttime.hk/job/338598
Infrastructure Specialist,Manpower Services(Hong Kong) Limited,10-06-20,"資訊科技, 電訊",面議,中西區,合約,http://www.parttime.hk/job/334905
